x-axis,1,2,3
second,Volt,Volt,Volt
-25.00000E-03,+3.89124990E+00,+3.93750000E+00,+4.00000000E+00
-24.95000E-03,+3.89124990E+00,+3.93750000E+00,+3.87500000E+00
-24.90000E-03,+3.89124990E+00,+3.93750000E+00,+3.87500000E+00
-24.85000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-24.80000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-24.75000E-03,+3.89124990E+00,+3.87500000E+00,+3.87500000E+00
-24.70000E-03,+3.89124990E+00,+3.93750000E+00,+3.87500000E+00
-24.65000E-03,+3.89124990E+00,+3.93750000E+00,+3.87500000E+00
-24.60000E-03,+3.82874990E+00,+3.93750000E+00,+3.87500000E+00
-24.55000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-24.50000E-03,+3.95374990E+00,+3.93750000E+00,+3.93750000E+00
-24.45000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-24.40000E-03,+3.89124990E+00,+3.87500000E+00,+3.87500000E+00
-24.35000E-03,+3.95374990E+00,+4.00000000E+00,+3.87500000E+00
-24.30000E-03,+3.89124990E+00,+4.00000000E+00,+3.87500000E+00
-24.25000E-03,+3.82874990E+00,+4.00000000E+00,+3.87500000E+00
-24.20000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-24.15000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-24.10000E-03,+3.95374990E+00,+4.00000000E+00,+3.87500000E+00
-24.05000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-24.00000E-03,+3.95374990E+00,+3.87500000E+00,+3.93750000E+00
-23.95000E-03,+3.89124990E+00,+3.93750000E+00,+3.87500000E+00
-23.90000E-03,+3.95374990E+00,+3.87500000E+00,+3.93750000E+00
-23.85000E-03,+3.89124990E+00,+3.93750000E+00,+4.00000000E+00
-23.80000E-03,+3.82874990E+00,+3.87500000E+00,+3.93750000E+00
-23.75000E-03,+3.82874990E+00,+3.93750000E+00,+3.93750000E+00
-23.70000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-23.65000E-03,+3.82874990E+00,+3.93750000E+00,+3.93750000E+00
-23.60000E-03,+3.82874990E+00,+3.93750000E+00,+3.87500000E+00
-23.55000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-23.50000E-03,+3.82874990E+00,+3.93750000E+00,+3.93750000E+00
-23.45000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-23.40000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-23.35000E-03,+3.82874990E+00,+4.00000000E+00,+3.93750000E+00
-23.30000E-03,+3.89124990E+00,+4.00000000E+00,+4.00000000E+00
-23.25000E-03,+3.82874990E+00,+3.93750000E+00,+3.93750000E+00
-23.20000E-03,+3.89124990E+00,+4.00000000E+00,+3.87500000E+00
-23.15000E-03,+3.89124990E+00,+3.93750000E+00,+4.00000000E+00
-23.10000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-23.05000E-03,+3.95374990E+00,+3.93750000E+00,+3.93750000E+00
-23.00000E-03,+3.89124990E+00,+3.87500000E+00,+3.93750000E+00
-22.95000E-03,+3.82874990E+00,+3.93750000E+00,+3.93750000E+00
-22.90000E-03,+3.82874990E+00,+3.93750000E+00,+3.93750000E+00
-22.85000E-03,+3.89124990E+00,+4.00000000E+00,+3.93750000E+00
-22.80000E-03,+3.89124990E+00,+3.93750000E+00,+4.00000000E+00
-22.75000E-03,+3.89124990E+00,+3.87500000E+00,+4.00000000E+00
-22.70000E-03,+3.82874990E+00,+3.93750000E+00,+3.93750000E+00
-22.65000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-22.60000E-03,+3.95374990E+00,+3.93750000E+00,+3.93750000E+00
-22.55000E-03,+3.95374990E+00,+4.00000000E+00,+3.87500000E+00
-22.50000E-03,+3.95374990E+00,+3.93750000E+00,+3.87500000E+00
-22.45000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-22.40000E-03,+3.89124990E+00,+4.00000000E+00,+3.93750000E+00
-22.35000E-03,+3.82874990E+00,+3.93750000E+00,+3.93750000E+00
-22.30000E-03,+3.95374990E+00,+4.00000000E+00,+3.93750000E+00
-22.25000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-22.20000E-03,+3.95374990E+00,+3.93750000E+00,+3.93750000E+00
-22.15000E-03,+3.95374990E+00,+3.93750000E+00,+4.00000000E+00
-22.10000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-22.05000E-03,+3.95374990E+00,+3.93750000E+00,+3.93750000E+00
-22.00000E-03,+3.89124990E+00,+4.00000000E+00,+4.00000000E+00
-21.95000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-21.90000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-21.85000E-03,+3.95374990E+00,+3.93750000E+00,+3.93750000E+00
-21.80000E-03,+3.89124990E+00,+4.00000000E+00,+3.93750000E+00
-21.75000E-03,+3.95374990E+00,+3.93750000E+00,+4.00000000E+00
-21.70000E-03,+3.82874990E+00,+3.93750000E+00,+3.93750000E+00
-21.65000E-03,+3.89124990E+00,+3.87500000E+00,+3.93750000E+00
-21.60000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-21.55000E-03,+3.82874990E+00,+3.93750000E+00,+3.93750000E+00
-21.50000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-21.45000E-03,+3.89124990E+00,+3.93750000E+00,+4.00000000E+00
-21.40000E-03,+3.89124990E+00,+4.00000000E+00,+3.93750000E+00
-21.35000E-03,+3.89124990E+00,+3.87500000E+00,+3.93750000E+00
-21.30000E-03,+3.82874990E+00,+3.87500000E+00,+3.87500000E+00
-21.25000E-03,+3.89124990E+00,+3.93750000E+00,+4.00000000E+00
-21.20000E-03,+3.89124990E+00,+4.00000000E+00,+3.93750000E+00
-21.15000E-03,+3.89124990E+00,+4.00000000E+00,+3.87500000E+00
-21.10000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-21.05000E-03,+3.89124990E+00,+4.00000000E+00,+3.93750000E+00
-21.00000E-03,+3.89124990E+00,+3.87500000E+00,+3.93750000E+00
-20.95000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-20.90000E-03,+3.82874990E+00,+3.93750000E+00,+3.93750000E+00
-20.85000E-03,+3.89124990E+00,+4.00000000E+00,+3.87500000E+00
-20.80000E-03,+3.82874990E+00,+4.00000000E+00,+3.87500000E+00
-20.75000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-20.70000E-03,+3.89124990E+00,+4.00000000E+00,+3.87500000E+00
-20.65000E-03,+3.89124990E+00,+3.93750000E+00,+3.87500000E+00
-20.60000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-20.55000E-03,+3.95374990E+00,+3.93750000E+00,+3.93750000E+00
-20.50000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-20.45000E-03,+3.89124990E+00,+3.87500000E+00,+3.93750000E+00
-20.40000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-20.35000E-03,+3.95374990E+00,+3.93750000E+00,+3.93750000E+00
-20.30000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-20.25000E-03,+3.89124990E+00,+4.00000000E+00,+3.93750000E+00
-20.20000E-03,+3.82874990E+00,+3.93750000E+00,+4.00000000E+00
