x-axis,1,2,3
second,Volt,Volt,Volt
-10.00000E-03,+891.24990E-03,+1.12500000E+00,+1.87500000E+00
-9.98000E-03,+891.24990E-03,+1.12500000E+00,+1.81250000E+00
-9.96000E-03,+828.74990E-03,+1.06250000E+00,+1.81250000E+00
-9.94000E-03,+891.24990E-03,+1.06250000E+00,+1.81250000E+00
-9.92000E-03,+953.74990E-03,+1.06250000E+00,+1.75000000E+00
-9.90000E-03,+1.01624990E+00,+1.12500000E+00,+1.68750000E+00
-9.88000E-03,+891.24990E-03,+1.06250000E+00,+1.68750000E+00
-9.86000E-03,+953.74990E-03,+1.06250000E+00,+1.68750000E+00
-9.84000E-03,+953.74990E-03,+1.06250000E+00,+1.62500000E+00
-9.82000E-03,+953.74990E-03,+1.12500000E+00,+1.62500000E+00
-9.80000E-03,+953.74990E-03,+1.00000000E+00,+1.62500000E+00
-9.78000E-03,+953.74990E-03,+1.06250000E+00,+1.56250000E+00
-9.76000E-03,+953.74990E-03,+1.00000000E+00,+1.43750000E+00
-9.74000E-03,+891.24990E-03,+1.00000000E+00,+1.43750000E+00
-9.72000E-03,+891.24990E-03,+1.00000000E+00,+1.50000000E+00
-9.70000E-03,+891.24990E-03,+937.50000E-03,+1.50000000E+00
-9.68000E-03,+891.24990E-03,+1.00000000E+00,+1.43750000E+00
-9.66000E-03,+953.74990E-03,+1.00000000E+00,+1.37500000E+00
-9.64000E-03,+891.24990E-03,+937.50000E-03,+1.31250000E+00
-9.62000E-03,+891.24990E-03,+1.00000000E+00,+1.31250000E+00
-9.60000E-03,+891.24990E-03,+1.00000000E+00,+1.31250000E+00
-9.58000E-03,+953.74990E-03,+937.50000E-03,+1.31250000E+00
-9.56000E-03,+953.74990E-03,+1.00000000E+00,+1.25000000E+00
-9.54000E-03,+891.24990E-03,+1.00000000E+00,+1.25000000E+00
-9.52000E-03,+953.74990E-03,+1.00000000E+00,+1.25000000E+00
-9.50000E-03,+891.24990E-03,+1.00000000E+00,+1.18750000E+00
-9.48000E-03,+953.74990E-03,+937.50000E-03,+1.25000000E+00
-9.46000E-03,+953.74990E-03,+1.00000000E+00,+1.18750000E+00
-9.44000E-03,+891.24990E-03,+937.50000E-03,+1.12500000E+00
-9.42000E-03,+891.24990E-03,+1.00000000E+00,+1.18750000E+00
-9.40000E-03,+953.74990E-03,+1.00000000E+00,+1.12500000E+00
-9.38000E-03,+891.24990E-03,+937.50000E-03,+1.06250000E+00
-9.36000E-03,+891.24990E-03,+1.00000000E+00,+1.06250000E+00
-9.34000E-03,+828.74990E-03,+1.00000000E+00,+1.06250000E+00
-9.32000E-03,+891.24990E-03,+1.00000000E+00,+1.06250000E+00
-9.30000E-03,+953.74990E-03,+1.00000000E+00,+1.00000000E+00
-9.28000E-03,+953.74990E-03,+937.50000E-03,+1.06250000E+00
-9.26000E-03,+891.24990E-03,+937.50000E-03,+1.00000000E+00
-9.24000E-03,+953.74990E-03,+875.00000E-03,+937.50000E-03
-9.22000E-03,+891.24990E-03,+937.50000E-03,+937.50000E-03
-9.20000E-03,+953.74990E-03,+937.50000E-03,+937.50000E-03
-9.18000E-03,+891.24990E-03,+937.50000E-03,+937.50000E-03
-9.16000E-03,+953.74990E-03,+875.00000E-03,+1.00000000E+00
