x-axis,1,2,3
second,Volt,Volt,Volt
-100.0000E-03,+1.4625001E+00,+3.3125000E+00,+6.7500000E+00
-99.8000E-03,+1.5250001E+00,+3.1562500E+00,+7.0625000E+00
-99.6000E-03,+1.4625001E+00,+3.1562500E+00,+6.7500000E+00
-99.4000E-03,+1.4625001E+00,+3.1562500E+00,+6.7500000E+00
-99.2000E-03,+1.5250001E+00,+3.1562500E+00,+7.0625000E+00
-99.0000E-03,+1.4625001E+00,+3.1562500E+00,+6.7500000E+00
-98.8000E-03,+1.4625001E+00,+3.1562500E+00,+6.7500000E+00
-98.6000E-03,+1.4625001E+00,+3.3125000E+00,+6.7500000E+00
-98.4000E-03,+1.4625001E+00,+3.1562500E+00,+6.7500000E+00
-98.2000E-03,+1.4625001E+00,+3.1562500E+00,+6.7500000E+00
-98.0000E-03,+1.5250001E+00,+3.1562500E+00,+6.7500000E+00
-97.8000E-03,+1.5250001E+00,+3.1562500E+00,+6.7500000E+00
-97.6000E-03,+1.4625001E+00,+3.1562500E+00,+6.7500000E+00
-97.4000E-03,+1.5250001E+00,+3.3125000E+00,+6.7500000E+00
-97.2000E-03,+1.4625001E+00,+3.3125000E+00,+6.7500000E+00
-97.0000E-03,+1.4625001E+00,+3.0000000E+00,+7.0625000E+00
-96.8000E-03,+1.4625001E+00,+3.3125000E+00,+6.7500000E+00
-96.6000E-03,+1.4625001E+00,+3.0000000E+00,+7.0625000E+00
-96.4000E-03,+1.4625001E+00,+3.3125000E+00,+6.7500000E+00
-96.2000E-03,+1.5250001E+00,+3.1562500E+00,+6.7500000E+00
-96.0000E-03,+1.4625001E+00,+3.3125000E+00,+7.0625000E+00
-95.8000E-03,+1.5250001E+00,+3.3125000E+00,+6.7500000E+00
-95.6000E-03,+1.5250001E+00,+3.1562500E+00,+7.0625000E+00
-95.4000E-03,+1.5250001E+00,+3.1562500E+00,+6.7500000E+00
-95.2000E-03,+1.5250001E+00,+3.3125000E+00,+6.7500000E+00
-95.0000E-03,+1.4625001E+00,+3.1562500E+00,+6.7500000E+00
-94.8000E-03,+1.5250001E+00,+3.1562500E+00,+6.7500000E+00
-94.6000E-03,+1.4625001E+00,+3.3125000E+00,+6.7500000E+00
-94.4000E-03,+1.4000001E+00,+3.1562500E+00,+6.7500000E+00
-94.2000E-03,+1.5250001E+00,+3.1562500E+00,+7.0625000E+00
-94.0000E-03,+1.5250001E+00,+3.1562500E+00,+6.7500000E+00
-93.8000E-03,+1.4625001E+00,+3.1562500E+00,+6.7500000E+00
-93.6000E-03,+1.5250001E+00,+3.1562500E+00,+6.7500000E+00
-93.4000E-03,+1.5250001E+00,+3.1562500E+00,+7.0625000E+00
-93.2000E-03,+1.5250001E+00,+3.1562500E+00,+7.0625000E+00
-93.0000E-03,+1.5250001E+00,+3.1562500E+00,+6.7500000E+00
-92.8000E-03,+1.4625001E+00,+3.1562500E+00,+6.7500000E+00
-92.6000E-03,+1.5250001E+00,+3.3125000E+00,+6.7500000E+00
-92.4000E-03,+1.5250001E+00,+3.1562500E+00,+6.7500000E+00
-92.2000E-03,+1.4625001E+00,+3.0000000E+00,+6.7500000E+00
-92.0000E-03,+1.5250001E+00,+3.1562500E+00,+6.7500000E+00
-91.8000E-03,+1.5250001E+00,+3.1562500E+00,+6.7500000E+00
-91.6000E-03,+1.4625001E+00,+3.3125000E+00,+6.4375000E+00
-91.4000E-03,+1.5250001E+00,+3.1562500E+00,+6.7500000E+00
-91.2000E-03,+1.4625001E+00,+3.1562500E+00,+7.0625000E+00
-91.0000E-03,+1.5250001E+00,+3.3125000E+00,+7.0625000E+00
-90.8000E-03,+1.4625001E+00,+3.4687500E+00,+7.0625000E+00
-90.6000E-03,+1.4625001E+00,+3.0000000E+00,+6.7500000E+00
-90.4000E-03,+1.4625001E+00,+3.3125000E+00,+6.7500000E+00
-90.2000E-03,+1.4625001E+00,+3.1562500E+00,+6.7500000E+00
-90.0000E-03,+1.4625001E+00,+3.1562500E+00,+6.7500000E+00
-89.8000E-03,+1.5250001E+00,+3.1562500E+00,+6.7500000E+00
-89.6000E-03,+1.5250001E+00,+3.3125000E+00,+6.7500000E+00
-89.4000E-03,+1.5250001E+00,+3.1562500E+00,+7.0625000E+00
-89.2000E-03,+1.5875001E+00,+3.1562500E+00,+6.7500000E+00
-89.0000E-03,+1.4625001E+00,+3.3125000E+00,+7.0625000E+00
-88.8000E-03,+1.5250001E+00,+3.1562500E+00,+7.0625000E+00
-88.6000E-03,+1.4625001E+00,+3.1562500E+00,+6.7500000E+00
-88.4000E-03,+1.4625001E+00,+3.1562500E+00,+7.0625000E+00
-88.2000E-03,+1.5250001E+00,+3.3125000E+00,+6.7500000E+00
-88.0000E-03,+1.4625001E+00,+3.3125000E+00,+6.7500000E+00
-87.8000E-03,+1.4625001E+00,+3.1562500E+00,+7.0625000E+00
-87.6000E-03,+1.5250001E+00,+3.1562500E+00,+7.0625000E+00
-87.4000E-03,+1.5250001E+00,+3.1562500E+00,+6.7500000E+00
-87.2000E-03,+1.5250001E+00,+3.1562500E+00,+7.0625000E+00
-87.0000E-03,+1.4625001E+00,+3.1562500E+00,+7.0625000E+00
-86.8000E-03,+1.5250001E+00,+3.3125000E+00,+7.0625000E+00
-86.6000E-03,+1.5250001E+00,+3.1562500E+00,+7.0625000E+00
-86.4000E-03,+1.5250001E+00,+3.4687500E+00,+7.0625000E+00
-86.2000E-03,+1.4625001E+00,+3.1562500E+00,+7.0625000E+00
-86.0000E-03,+1.4625001E+00,+3.1562500E+00,+7.0625000E+00
-85.8000E-03,+1.5875001E+00,+3.3125000E+00,+7.0625000E+00
-85.6000E-03,+1.4625001E+00,+3.1562500E+00,+6.7500000E+00
-85.4000E-03,+1.5250001E+00,+3.1562500E+00,+7.0625000E+00
-85.2000E-03,+1.4625001E+00,+3.1562500E+00,+6.7500000E+00
-85.0000E-03,+1.5250001E+00,+3.3125000E+00,+7.0625000E+00
-84.8000E-03,+1.4625001E+00,+3.3125000E+00,+6.7500000E+00
-84.6000E-03,+1.5250001E+00,+3.1562500E+00,+6.7500000E+00
-84.4000E-03,+1.5250001E+00,+3.3125000E+00,+6.4375000E+00
-84.2000E-03,+1.5250001E+00,+3.1562500E+00,+7.0625000E+00
-84.0000E-03,+1.5250001E+00,+3.1562500E+00,+6.4375000E+00
-83.8000E-03,+1.4625001E+00,+3.3125000E+00,+6.7500000E+00
-83.6000E-03,+1.4000001E+00,+3.1562500E+00,+7.0625000E+00
-83.4000E-03,+1.5250001E+00,+3.1562500E+00,+7.0625000E+00
-83.2000E-03,-1.4749999E+00,+3.3125000E+00,+6.7500000E+00
-83.0000E-03,-1.4749999E+00,+3.0000000E+00,+6.7500000E+00
-82.8000E-03,-1.4749999E+00,+2.8437500E+00,+6.7500000E+00
-82.6000E-03,-1.4749999E+00,+2.6875000E+00,+6.7500000E+00
-82.4000E-03,-1.4749999E+00,+2.8437500E+00,+6.7500000E+00
-82.2000E-03,-1.4749999E+00,+2.5312500E+00,+7.0625000E+00
-82.0000E-03,-1.4749999E+00,+2.3750000E+00,+6.7500000E+00
-81.8000E-03,-1.4749999E+00,+2.3750000E+00,+6.7500000E+00
-81.6000E-03,-1.4749999E+00,+2.2187500E+00,+6.4375000E+00
-81.4000E-03,-1.4124999E+00,+2.2187500E+00,+6.4375000E+00
-81.2000E-03,-1.5374999E+00,+2.0625000E+00,+6.4375000E+00
-81.0000E-03,-1.4749999E+00,+2.0625000E+00,+6.7500000E+00
-80.8000E-03,-1.4749999E+00,+1.9062500E+00,+6.4375000E+00
-80.6000E-03,-1.5374999E+00,+1.9062500E+00,+6.1250000E+00
-80.4000E-03,-1.4749999E+00,+1.9062500E+00,+6.1250000E+00
-80.2000E-03,-1.4749999E+00,+1.5937500E+00,+5.8125000E+00
-80.0000E-03,-1.4124999E+00,+1.7500000E+00,+5.8125000E+00
-79.8000E-03,-1.4124999E+00,+1.2812500E+00,+5.8125000E+00
-79.6000E-03,-1.4749999E+00,+1.4375000E+00,+5.8125000E+00
-79.4000E-03,-1.4749999E+00,+1.4375000E+00,+5.5000000E+00
-79.2000E-03,-1.4124999E+00,+1.2812500E+00,+5.8125000E+00
-79.0000E-03,-1.4749999E+00,+1.2812500E+00,+5.1875000E+00
-78.8000E-03,-1.4124999E+00,+968.7500E-03,+5.1875000E+00
-78.6000E-03,-1.4124999E+00,+1.1250000E+00,+4.8750000E+00
-78.4000E-03,-1.4124999E+00,+1.1250000E+00,+4.8750000E+00
-78.2000E-03,-1.4749999E+00,+968.7500E-03,+4.5625000E+00
-78.0000E-03,-1.4749999E+00,+812.5000E-03,+4.8750000E+00
-77.8000E-03,-1.4124999E+00,+968.7500E-03,+4.2500000E+00
-77.6000E-03,-1.4124999E+00,+500.0000E-03,+4.2500000E+00
-77.4000E-03,-1.4749999E+00,+656.2500E-03,+4.2500000E+00
-77.2000E-03,-1.4749999E+00,+500.0000E-03,+3.9375000E+00
-77.0000E-03,-1.4749999E+00,+343.7500E-03,+4.5625000E+00
-76.8000E-03,-1.5374999E+00,+343.7500E-03,+3.6250000E+00
-76.6000E-03,-1.5374999E+00,+343.7500E-03,+4.2500000E+00
-76.4000E-03,-1.4749999E+00,+343.7500E-03,+3.9375000E+00
-76.2000E-03,-1.4124999E+00,+187.5000E-03,+3.3125000E+00
-76.0000E-03,-1.4124999E+00,+187.5000E-03,+3.6250000E+00
-75.8000E-03,-1.4749999E+00,+187.5000E-03,+3.6250000E+00
-75.6000E-03,-1.4749999E+00,+31.2500E-03,+3.3125000E+00
-75.4000E-03,-1.4749999E+00,+31.2500E-03,+3.0000000E+00
-75.2000E-03,-1.4749999E+00,+187.5000E-03,+3.0000000E+00
-75.0000E-03,-1.4749999E+00,-125.0000E-03,+3.0000000E+00
-74.8000E-03,-1.5374999E+00,-281.2500E-03,+2.3750000E+00
-74.6000E-03,-1.4749999E+00,-125.0000E-03,+2.6875000E+00
-74.4000E-03,-1.4749999E+00,-281.2500E-03,+2.0625000E+00
-74.2000E-03,-1.5374999E+00,-437.5000E-03,+2.3750000E+00
-74.0000E-03,-1.4749999E+00,-437.5000E-03,+2.0625000E+00
-73.8000E-03,-1.5374999E+00,-281.2500E-03,+1.7500000E+00
-73.6000E-03,-1.4749999E+00,-593.7500E-03,+1.7500000E+00
-73.4000E-03,-1.4749999E+00,-593.7500E-03,+1.7500000E+00
-73.2000E-03,-1.5374999E+00,-593.7500E-03,+2.0625000E+00
-73.0000E-03,-1.4124999E+00,-750.0000E-03,+1.4375000E+00
-72.8000E-03,-1.4124999E+00,-750.0000E-03,+1.4375000E+00
-72.6000E-03,-1.4749999E+00,-593.7500E-03,+1.4375000E+00
-72.4000E-03,-1.4749999E+00,-750.0000E-03,+1.4375000E+00
-72.2000E-03,-1.4124999E+00,-906.2500E-03,+1.1250000E+00
-72.0000E-03,-1.4749999E+00,-906.2500E-03,+812.5000E-03
-71.8000E-03,-1.5374999E+00,-750.0000E-03,+1.1250000E+00
-71.6000E-03,-1.4124999E+00,-1.0625000E+00,+1.1250000E+00
-71.4000E-03,-1.4749999E+00,-1.0625000E+00,+812.5000E-03
-71.2000E-03,-1.4749999E+00,-1.0625000E+00,+500.0000E-03
-71.0000E-03,-1.4749999E+00,-1.0625000E+00,+812.5000E-03
-70.8000E-03,-1.4749999E+00,-1.2187500E+00,+500.0000E-03
-70.6000E-03,-1.4749999E+00,-906.2500E-03,+187.5000E-03
-70.4000E-03,-1.4749999E+00,-1.3750000E+00,+187.5000E-03
-70.2000E-03,-1.4749999E+00,-1.3750000E+00,+187.5000E-03
-70.0000E-03,-1.4124999E+00,-1.2187500E+00,+187.5000E-03
-69.8000E-03,-1.4749999E+00,-1.2187500E+00,-125.0000E-03
-69.6000E-03,-1.4749999E+00,-1.2187500E+00,-125.0000E-03
-69.4000E-03,-1.4749999E+00,-1.3750000E+00,-125.0000E-03
-69.2000E-03,-1.4124999E+00,-1.3750000E+00,-125.0000E-03
-69.0000E-03,-1.4124999E+00,-1.3750000E+00,-750.0000E-03
-68.8000E-03,-1.4749999E+00,-1.3750000E+00,-750.0000E-03
-68.6000E-03,-1.4124999E+00,-1.5312500E+00,-750.0000E-03
-68.4000E-03,-1.5374999E+00,-1.5312500E+00,-1.0625000E+00
-68.2000E-03,-1.4124999E+00,-1.5312500E+00,-1.0625000E+00
-68.0000E-03,-1.5374999E+00,-1.5312500E+00,-1.0625000E+00
-67.8000E-03,-1.5374999E+00,-1.5312500E+00,-1.0625000E+00
-67.6000E-03,-1.4124999E+00,-1.5312500E+00,-1.3750000E+00
-67.4000E-03,-1.4124999E+00,-1.6875000E+00,-1.3750000E+00
-67.2000E-03,-1.4749999E+00,-1.6875000E+00,-1.6875000E+00
-67.0000E-03,-1.4749999E+00,-1.8437500E+00,-1.3750000E+00
-66.8000E-03,-1.4749999E+00,-1.8437500E+00,-1.3750000E+00
-66.6000E-03,-1.4749999E+00,-1.8437500E+00,-1.6875000E+00
-66.4000E-03,-1.4124999E+00,-1.6875000E+00,-1.3750000E+00
-66.2000E-03,-1.4749999E+00,-1.8437500E+00,-1.6875000E+00
-66.0000E-03,-1.4749999E+00,-1.8437500E+00,-1.6875000E+00
-65.8000E-03,-1.4124999E+00,-1.8437500E+00,-1.6875000E+00
-65.6000E-03,-1.4749999E+00,-1.8437500E+00,-1.6875000E+00
-65.4000E-03,-1.4749999E+00,-1.8437500E+00,-2.3125000E+00
-65.2000E-03,-1.4124999E+00,-1.8437500E+00,-2.0000000E+00
-65.0000E-03,-1.4749999E+00,-1.6875000E+00,-2.3125000E+00
-64.8000E-03,-1.4749999E+00,-2.0000000E+00,-2.6250000E+00
-64.6000E-03,-1.5374999E+00,-1.8437500E+00,-2.6250000E+00
-64.4000E-03,-1.4749999E+00,-2.1562500E+00,-2.6250000E+00
-64.2000E-03,-1.4749999E+00,-2.0000000E+00,-2.3125000E+00
-64.0000E-03,-1.4749999E+00,-2.0000000E+00,-2.6250000E+00
-63.8000E-03,-1.4749999E+00,-2.0000000E+00,-2.9375000E+00
-63.6000E-03,-1.4749999E+00,-2.0000000E+00,-2.6250000E+00
-63.4000E-03,-1.4749999E+00,-2.1562500E+00,-2.9375000E+00
-63.2000E-03,-1.4749999E+00,-2.1562500E+00,-2.9375000E+00
-63.0000E-03,-1.4124999E+00,-2.1562500E+00,-3.2500000E+00
-62.8000E-03,-1.5374999E+00,-1.8437500E+00,-3.2500000E+00
-62.6000E-03,-1.4124999E+00,-2.3125000E+00,-2.9375000E+00
-62.4000E-03,-1.4749999E+00,-2.3125000E+00,-3.5625000E+00
-62.2000E-03,-1.4749999E+00,-2.3125000E+00,-3.2500000E+00
-62.0000E-03,-1.4749999E+00,-2.1562500E+00,-3.5625000E+00
-61.8000E-03,-1.4124999E+00,-2.3125000E+00,-3.2500000E+00
-61.6000E-03,-1.4749999E+00,-2.3125000E+00,-3.5625000E+00
-61.4000E-03,-1.4749999E+00,-2.0000000E+00,-3.5625000E+00
-61.2000E-03,-1.4749999E+00,-2.3125000E+00,-3.5625000E+00
-61.0000E-03,-1.4749999E+00,-2.1562500E+00,-3.2500000E+00
-60.8000E-03,-1.4749999E+00,-2.4687500E+00,-3.5625000E+00
-60.6000E-03,-1.4124999E+00,-2.1562500E+00,-3.5625000E+00
-60.4000E-03,-1.4749999E+00,-2.1562500E+00,-3.8750000E+00
-60.2000E-03,-1.4749999E+00,-2.4687500E+00,-3.5625000E+00
-60.0000E-03,-1.4749999E+00,-2.4687500E+00,-3.8750000E+00
-59.8000E-03,-1.4749999E+00,-2.3125000E+00,-3.8750000E+00
-59.6000E-03,-1.4749999E+00,-2.4687500E+00,-4.1875000E+00
-59.4000E-03,-1.4124999E+00,-2.4687500E+00,-3.8750000E+00
-59.2000E-03,-1.4124999E+00,-2.4687500E+00,-4.1875000E+00
-59.0000E-03,-1.4749999E+00,-2.4687500E+00,-3.8750000E+00
-58.8000E-03,-1.4749999E+00,-2.6250000E+00,-4.1875000E+00
-58.6000E-03,-1.4749999E+00,-2.4687500E+00,-4.1875000E+00
